변수,타입,디바이스,사용 유무,HMI,설명문
,bit,P0000,0,0,(작업시작) FOOT SWITCH
,bit,P0001,0,0,(작업시작) PUSH BUTTON LAMP SWITCH
,bit,P0002,0,0,비상정지 SWITCH 1
,bit,P0003,0,0,비상정지 SWITCH 2
,bit,P0004,0,0,
,bit,P0005,0,0,온도 컨트롤러 RELAY 출력
,bit,P0006,0,0,온도 컨트롤러 ALARM 1 출력
,bit,P0007,0,0,온도 컨트롤러 ALARM 2출력
,bit,P0008,0,0,커튼 상승 리드 센서
,bit,P0009,0,0,커튼 하강 리드 센서
,bit,P000A,0,0,패드 상승 리드 센서
,bit,P000B,0,0,패드 하강 리드 센서
,bit,P000C,0,0,필름 확관 전진 센서
,bit,P000D,0,0,필름 확관 추진 센서
,bit,P000E,0,0,진공 전진 센서
,bit,P000F,0,0,진공 추진 쎈서
,bit,P0010,0,0,헤드 전진 리드 센서
,bit,P0011,0,0,헤드 후진 리드 센서
,bit,P0012,0,0,헤드 상승 리드 센서
,bit,P0013,0,0,헤드 하강 리드 센서
,bit,P0014,0,0,히터 전진 리드 센서
,bit,P0015,0,0,히터 후진 리드 센서
,bit,P0016,0,0,히터 상승 리드 센서
,bit,P0017,0,0,히터 하강 리드 센서
,bit,P0018,0,0,히터 회전 리드 센서
,bit,P0019,0,0,히터 복귀 리드 센서
,bit,P001A,0,0,
,bit,P001B,0,0,
,bit,P001C,0,0,
,bit,P001D,0,0,
,bit,P001E,0,0,
,bit,P001F,0,0,
